web-scraper-order,web-scraper-start-url,Product_C,Product_C-href,Product_Name,Shop_Name,Sale_Price,Original_Price,Discount,Description,Collection,Product_SKU,Review_Numbers,Customer_Rating_Total,Size_Rating,Material_Rating,Color_Rating,Sponsor_B
1570573477-4335,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=0,Opens in a new tabSaleQuickviewSave+16 SizesAvailable in 16 SizesHillsby Orange/Navy Area Rugby Mistana$100.75$249.00Open Box Price: from $46.4317079Rated 5 out of 5 stars.17079 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/mistana-hillsby-orangenavy-area-rug-mtna3186.html?piid=22619849,Hillsby Orange/Navy Area Rug,Mistana,$100.75 ,$249.00 ,60% Off,"Set a fashionably faded foundation in your space with this dynamic area rug. Brimming with boho flair, it features a Persian-inspired motif with distressed details in neutral, blue, and orange hues for a pop of pattern. Since this piece is power-loomed in Turkey from 100% polypropylene with a low 0.38"" pile height, it’s well suited to sit in high-traffic rooms inside your home. Wherever you decide to display this design, we recommend you roll out a rug pad underneath to help it stay put.",Area Rugs,SKU: MTNA3186,Showing 1-10 of 17062 reviews.,4.8,4.8,4.8,4.6,null
1570571869-4200,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=4,Opens in a new tabQuickviewSave+19 SizesAvailable in 19 SizesRabinowitz Terracotta Area Rugby Andover Mills$64.88$198.0032535Rated 4.5 out of 5 stars.32535 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/andover-mills-rabinowitz-terracotta-area-rug-andv4790.html?piid=33089588,Rabinowitz Terracotta Area Rug,Andover Mills,$64.88 ,$198.00 ,67% Off,This Terracotta Area Rug is made of polypropylene. This rug is easy to clean and does not shed,Area Rugs,SKU: ANDV4790,Showing 1-10 of 32437 reviews.,4.6,4.6,4.8,4.6,null
1570573538-4340,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=0,"Opens in a new tabQuickviewSave+30 SizesAvailable in 30 SizesKatie Cream/Light Grey Area Rugby Mistana$88.997105Rated 4.5 out of 5 stars.7105 total votes.FREE 2-Day ShippingGet it by Thu, Oct 10",https://www.wayfair.com/rugs/pdp/mistana-katie-creamlight-grey-area-rug-w001527065.html?piid=849836180,Katie Cream/Light Grey Area Rug,Mistana,$88.99 ,$240.21 ,63% Off,"Warming up hardwood and tile floors while setting the stage for the rest of your ensemble, area rugs are essential for nearly any room in your abode. Made in Turkey, this one is constructed from polypropylene, a colorfast and stain-resistant material that naturally repels moisture – making cleanup a cinch! It features a 0.37"" pile height, ideal for promoting a cozy and inviting feel to your space with the added benefit of being easy to clean.",Area Rugs,SKU: W001527065,Showing 1-10 of 7085 reviews.,4.7,4.4,4.7,4.7,null
1570571142-4128,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=5,Opens in a new tabSaleQuickviewSave+29 SizesAvailable in 29 SizesTallowick Marble/Beige Area Rugby Beachcrest Home$131.991682Rated 4.5 out of 5 stars.1682 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/beachcrest-home-tallowick-marblebeige-area-rug-bcmh4357.html?piid=30601831,Tallowick Marble/Beige Area Rug,Beachcrest Home,$131.99 ,null,null,"Looking to lend your home a bright decorative touch? Don't forget about your floors! Adding an area rug like this is a great option for staging your ensemble with an on-trend look. Woven from sisal fibers with a braided pattern, this piece features a natural resilience that makes it a great option for both seaside style and regular use. And with a 0.4'' pile height, it's low enough for most doors to pass over it with ease. We recommend adding a rug pad to help keep this piece in place.",Area Rugs,SKU: BCMH4357,Showing 1-10 of 1682 reviews.,4.6,4.7,4.7,4.3,null
1570571669-4180,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=4,Opens in a new tabSaleQuickviewSave+30 SizesAvailable in 30 SizesCranmore Hand-Tufted Wool Blue/Brown Area Rugby Charlton Home$182.99$295.901968Rated 4.5 out of 5 stars.1968 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/charlton-home-cranmore-hand-tufted-wool-bluebrown-area-rug-chlh6073.html?piid=19260473,Cranmore Hand-Tufted Wool Blue/Brown Area Rug,Charlton Home,$182.99 ,$295.90 ,38% Off,"Who says artful allure has to be limited to what's hanging on your walls? Bring a bit of bold beauty to the space underfoot in your master suite or living room seating ensemble with this eye-catching area rug, showcasing a Persian-inspired motif in hues of blue and beige. Made in India, it is handmade using 100% pure wool with a low pile height and cotton backing that should be paired with a rug pad.",Area Rugs,SKU: CHLH6073,Showing 1-10 of 1968 reviews.,4.6,4.7,4.3,4.7,null
1570573584-4344,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=0,Opens in a new tabQuickviewSave+20 SizesAvailable in 20 SizesBismark Gray Area Rugby Wade Logan$72.995731Rated 4.5 out of 5 stars.5731 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/wade-logan-bismark-gray-area-rug-wlgn1167.html?piid=19343465&category=215386&placement=1&slot=1&sponsoredid=384adbc6f6a5f4f05b53fe4bc92b5be94e6218a09af72fdedefa347a050f944e&_txid=otAgZF2dCxo7n0K2Ax2sAg%3D%3D&isB2b=0,Bismark Gray Area Rug,Wade Logan,$72.99 ,null,null,"Polypropylene rugs are both elegant and easy to clean, so they make the perfect foundation for any entryway ensemble. Try rolling out this alluring area rug for a ravishing refresher, then craft a cohesive look throughout with a glossy white bench for stowing shoes and a polished silver bowl pendant hanging overhead to really make it shine. Though its hues of gray are sure to beautifully blend into your abode, a tonal stripe motif might just be grabbing glances. Made in Turkey, this distinctive design is machine woven of 100% polypropylene with cotton backing and a low pile height for a casual look.",Area Rugs,SKU: WLGN1167,Showing 1-10 of 5726 reviews.,4.5,4.5,4.6,4.6,Sponsored
1570572608-4266,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=2,"Opens in a new tabSaleQuickviewSave+22 SizesAvailable in 22 SizesIndira Gray/Orange Area Rugby Mistana$91.958158Rated 4.5 out of 5 stars.8158 total votes.FREE 2-Day ShippingGet it by Thu, Oct 10",https://www.wayfair.com/rugs/pdp/mistana-indira-grayorange-area-rug-w000547404.html?piid=618540969,Indira Gray/Orange Area Rug,Mistana,$91.95 ,$299.25 ,69% Off,"Fun and free-spirited, this lovely rug brings a splash of color and artful appeal to your contemporary aesthetic. Power-loomed from polypropylene, this rug is stain- and fade-resistant. With durable fibers, it can also stand up to high-traffic – making it a perfect pick for busy entryways and living rooms. It showcases an abstract motif, with splashes of red and gray against a dark gray background. A rug pad is recommended for use.",Area Rugs,SKU: W000547404,Showing 1-10 of 8132 reviews.,4.7,3.1,4.8,4.7,null
1570572547-4259,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=3,Opens in a new tabSaleQuickviewSave+10 SizesAvailable in 10 SizesCrisman Dark Red/Dark Brown Area Rugby Charlton Home$96.20$284.001912Rated 4.5 out of 5 stars.1912 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/charlton-home-crisman-dark-reddark-brown-area-rug-chrh6154.html?piid=29473749,Crisman Dark Red/Dark Brown Area Rug,Charlton Home,$96.20 ,$284.00 ,66% Off,"Lay a transitional foundation for your stylish space with this charming rug, showcasing a botanical motif in a neutral palette perfect for any aesthetic. Made in Turkey, this rug is machine woven from stain and fade-resistant polypropylene in a medium 0.43’’ pile over a latex backing perfect for laying out in high-traffic areas and places prone to live’s spills and stains. Available in a curated selection of sizes to best suit your space, this rug works best when paired with a rug pad to prevent shifting and sliding.",Area Rugs,SKU: CHRH6154,Showing 1-10 of 1910 reviews.,4.5,4.9,4.6,4.3,null
1570571116-4126,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=5,Opens in a new tabSaleQuickviewSave+6 SizesAvailable in 6 SizesAbell Multicolor Area Rugby Fleur De Lis Living$89.99$299.051798Rated 4.5 out of 5 stars.1798 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/fleur-de-lis-living-abell-multicolor-area-rug-fdll1801.html?piid=21415247,Abell Multicolor Area Rug,Fleur De Lis Living,$89.99 ,$299.05 ,70% Off,"Lay a contemporary foundation for your stylish space with this geometric area rug, showcasing an array of shapes and botanical prints in hues of beige, seaweed green, and wine red. Made in Egypt, this rug is machine woven of stain and fade-resistant polypropylene in a medium 0.39"" pile—perfect for laying out in the living room or places prone to spills and stains. Available in a curated selection of sizes to best suit your space, this rug works best when paired with a rug pad to prevent shifting and sliding.",Area Rugs,SKU: FDLL1801,Showing 1-10 of 1792 reviews.,4.7,3.9,4.4,4.7,null
1570572284-4235,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=3,"Opens in a new tabSaleQuickviewSave+5 SizesAvailable in 5 SizesRaquel Taupe/ Teal Area Rugby Ophelia & Co.$74.64$186.001595Rated 4.5 out of 5 stars.1595 total votes.FREE 2-Day ShippingGet it by Thu, Oct 10",https://www.wayfair.com/rugs/pdp/ophelia-co-raquel-taupe-teal-area-rug-opco1833.html?piid=22088668,Raquel Taupe/ Teal Area Rug,Ophelia & Co.,$74.64 ,$186.00 ,60% Off,"Set a tasteful, transitional foundation for your space with this taupe and beige area rug, showcasing a floral medallion motif. Made in Turkey, this area rug is machine woven from stain- and fade-resistant polypropylene in a low 0.6"" pile – perfect for rolling out in high-traffic living rooms and dining spaces prone to occasional spills and stains alike. Easily spot cleaned of vacuumed for fuss-free upkeep, this area rug performs best when paired with a rug pad to prevent shifting and sliding underfoot.",Area Rugs,SKU: OPCO1833,Showing 1-10 of 1592 reviews.,4.3,4.1,4.6,3.8,null
