web-scraper-order,web-scraper-start-url,Product_C,Product_C-href,Product_Name,Shop_Name,Sale_Price,Original_Price,Discount,Description,Collection,Product_SKU,Review_Numbers,Customer_Rating_Total,Size_Rating,Material_Rating,Color_Rating,Sponsor_B
"1571753828-793","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=3","Opens in a new tabSaleQuickviewSave+18 SizesAvailable in 18 SizesInes Ivory/Gray Area Rugby Andover Mills$96.995878Rated 4.5 out of 5 stars.5878 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/andover-mills-ines-ivorygray-area-rug-w001478371.html?piid=134260959","Ines Ivory/Gray Area Rug","Andover Mills","$96.99","$966.05","90% Off","No matter which room you’re decorating, an area rug helps define the space by introducing pattern and color. This design, for example, showcases a geometric trellis motif suited for modern ensembles. Crafted from fade- and stain-resistant polypropylene, it features a 1.6'' pile height that creates an inviting look while remaining easy to clean with regular vacuuming. We recommend pairing this piece with a rug pad to prevent slipping and sliding.","Area Rugs","SKU: W001478371","Showing 1-10 of 5878 reviews.","4.5","3.6","4.7","4.6","null"
"1571754499-852","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=2","Opens in a new tabSaleQuickviewSave+10 SizesAvailable in 10 SizesGaskins Khaki/Tan Area Rugby Charlton Home$162.90$560.002304Rated 4.5 out of 5 stars.2304 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/charlton-home-gaskins-khakitan-area-rug-chrl1966.html?piid=21087462","Gaskins Khaki/Tan Area Rug","Charlton Home","$162.90","$560.00","71% Off","Beautifully oriental, this rug is machine-made from 100% polypropylene for added sturdiness and durability. It has a camel-colored background, which is further accentuated by an ornate design in multiple colors. Low on maintenance, this rug should be vacuumed frequently to keep away dirt and dust.","Area Rugs","SKU: CHRL1966","Showing 1-10 of 2300 reviews.","4.6","4.9","4.6","5.0","null"
"1571754847-883","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=0","Opens in a new tabSaleQuickviewSave+25 SizesAvailable in 25 SizesLatham Rigo Handwoven Flatweave Tan Area Rugby Beachcrest Home$44.994296Rated 4.5 out of 5 stars.4296 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/beachcrest-home-latham-rigo-handwoven-flatweave-tan-area-rug-w001177862.html?piid=1958776445&category=474144&placement=301&slot=5&sponsoredid=3ca3617baad460d46d5caf45471e7db8230e4124d7af251c2ee83a44e2e161b6&_txid=otAgZV2vEuJPy3xsCrW4Ag%3D%3D&isB2b=0","Latham Rigo Handwoven Flatweave Tan Area Rug","Beachcrest Home","$44.99","$69.00","35% Off","A fresh, organic addition to any indoor space, this area rug is perfect layered over hardwood floors, rolled out under coffee tables, and beyond. The subtle striped details, in earthy sand, tan, and ivory tones, are a sure fit for coastal- and country-inspired aesthetics, but work just as well with a wide variety of interior designs. Made in India, it’s hand-woven from 100% jute fibers with a 0.5'' pile height. For general upkeep, vacuum regularly. A rug pad is recommended.","Area Rugs","SKU: W001177862","Showing 1-10 of 4287 reviews.","4.5","4.8","4.5","4.6","Sponsored"
"1571754256-831","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=3","Opens in a new tabSaleQuickviewSave+17 SizesAvailable in 17 SizesAbbeville Dark Blue Area Rugby Laurel Foundry Modern Farmhouse$42.15$138.001323Rated 5 out of 5 stars.1323 total votes.","https://www.wayfair.com/rugs/pdp/abbeville-dark-blue-area-rug-lrfy1015.html?piid=18664674","Abbeville Dark Blue Area Rug","Laurel Foundry Modern Farmhouse","$42.15","$138.00","69% Off","Offer up an effortlessly rustic twist to any seating group or ensemble with this essential area rug, featuring a bold Persian-inspired motif in faded blue and cream tones. Set it under a weathered wood and iron coffee table in the living room to center your space in a simple style, then arrange neutral-toned linen armchairs and faux leather loveseats around the space to tie your space together. Made from 100% polypropylene with a cotton backing, this rug is a durable, stain-resistant, and easy-to-clean piece in your space. Set it under your dining table to catch unexpected wine spills at your next dinner party, or add it to the entryway to stand up to dirt and mud as guests come in the door.","Area Rugs","SKU: LRFY1015","Showing 1-10 of 1317 reviews.","4.8","4.8","5.0","4.8","null"
"1571754737-873","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=0","Opens in a new tabQuickviewSave+8 SizesAvailable in 8 SizesBarlowe Red Indoor/Outdoor Area Rugby Sol 72 Outdoor$126.521045Rated 4.5 out of 5 stars.1045 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/sol-72-outdoor-barlowe-red-indooroutdoor-area-rug-w000276166.html?piid=2061531809","Barlowe Red Indoor/Outdoor Area Rug","Sol 72 Outdoor","$126.52","$399.00","68% Off","Looking to liven up your layout? A pop of pattern is the perfect pick-me-up, and this eye-catching area rug is here to help! Showcasing a contemporary geometric motif, this design is dotted with ivory and red hues for a splash of color. Since this piece is power-loomed in Egypt from polypropylene with a low 0.15"" pile height, it resists water and fading, making it well equipped to sit in outdoor spaces.","Area Rugs","SKU: W000276166","Showing 1-10 of 1045 reviews.","4.7","4.5","4.7","4.6","null"
"1571752918-723","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=5","Opens in a new tabSaleQuickviewSave+17 SizesAvailable in 17 SizesKeagan Gray/Cream Area Rugby Bungalow Rose$58.99$110.26342Rated 4.5 out of 5 stars.342 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/bungalow-rose-keagan-graycream-area-rug-bnrs1904.html?piid=44471746","Keagan Gray/Cream Area Rug","Bungalow Rose","$58.99","$110.26","46% Off","null","Area Rugs","SKU: BNRS1904","Showing 1-10 of 341 reviews.","4.7","4.7","4.8","5.0","null"
"1571754062-816","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=3","Opens in a new tabSaleQuickviewSave+17 SizesAvailable in 17 SizesMontross Blue Area Rugby Trent Austin Design$47.99$71.103720Rated 4.5 out of 5 stars.3720 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/trent-austin-design-montross-blue-area-rug-tadn6203.html?piid=44473516","Montross Blue Area Rug","Trent Austin Design","$47.99","$71.10","33% Off","Machine-woven in Egypt from 100% polypropylene, this area rug is designed to resist staining and fading, making it an ideal anchor for high-traffic spaces in your home. Its ivory, beige, sea blue, and navy blue hues add a pop of color to your arrangement, while its distressed abstract pattern blends antique and contemporary styles for a distinctive look. Once you've picked the perfect place for this piece, we recommend you pair it with a rug pad for extra cushioning and traction underfoot.","Area Rugs","SKU: TADN6203","Showing 1-10 of 3715 reviews.","4.6","4.5","4.4","4.6","null"
"1571754838-882","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=0","Opens in a new tabSaleQuickviewSave+14 SizesAvailable in 14 SizesGehl Modern Brown Arcs & Shapes Area Rugby Zipcode Design$29.99$79.993148Rated 4.5 out of 5 stars.3148 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/zipcode-design-gehl-modern-brown-arcs-shapes-area-rug-zpcd6981.html?piid=33650878","Gehl Modern Brown Arcs & Shapes Area Rug","Zipcode Design","$29.99","$79.99","63% Off","No matter which room you’re decorating, an area rug can help pull the ensemble together. This design, for example, sports an abstract geometric pattern that’s suited for modern and transitional spaces. Crafted from stain- and fade-resistant fibers, it features a 0.4'' pile height that encourages underfoot comfort while remaining easy to clean with regular vacuuming. Wherever you place it, we recommend pairing it with a rug pad to prevent it from shifting.","Area Rugs","SKU: ZPCD6981","Showing 1-10 of 3144 reviews.","4.7","4.8","4.9","4.2","null"
"1571753257-750","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=4","Opens in a new tabSaleQuickviewSave+14 SizesAvailable in 14 SizesMercado Abstract Waves Gray/White Area Rugby Mercury Row$66.99$79.001898Rated 4.5 out of 5 stars.1898 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/mercury-row-mercado-abstract-waves-graywhite-area-rug-mcrr2219.html?piid=39726256","Mercado Abstract Waves Gray/White Area Rug","Mercury Row","$66.99","$79.00","15% Off","Set a mid-century modern foundation for your space with this gray and white area rug, showcasing an abstract wave stripe. Made in Turkey, this area rug is machine woven from stain- and fade-resistant polypropylene in a low 0.5"" pile – perfect for rolling out in high-traffic living rooms and dining places prone to occasional spills and stains alike. Complete with a durable latex backing, this rug performs best when paired with a rug pad to prevent shifting and sliding underfoot.","Area Rugs","SKU: MCRR2219","Showing 1-10 of 1898 reviews.","4.5","4.6","4.6","4.6","null"
"1571754535-856","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=2","Opens in a new tabSaleQuickviewSave+11 SizesAvailable in 11 SizesColunga Black/Gray Area Rugby Mercury Row$86.99534Rated 4.5 out of 5 stars.534 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/mercury-row-colunga-blackgray-area-rug-mcrw5921.html?piid=35851905","Colunga Black/Gray Area Rug","Mercury Row","$86.99","null","null","Set a modern and minimalist foundation in any space with this dynamic area rug. An on-trend ombre pattern takes center stage, so it’s versatile enough to complement any color palette. Its well suited to sit in high-traffic rooms inside your home. Wherever you decide to roll this rug out.","Area Rugs","SKU: MCRW5921","Showing 1-10 of 534 reviews.","4.7","4.9","5.0","4.7","null"
