web-scraper-order,web-scraper-start-url,Product_C,Product_C-href,Product_Name,Shop_Name,Sale_Price,Original_Price,Discount,Description,Collection,Product_SKU,Review_Numbers,Customer_Rating_Total,Size_Rating,Material_Rating,Color_Rating,Sponsor_B
"1571686873-65","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=4","Opens in a new tabSaleQuickviewSave+28 SizesAvailable in 28 SizesFeist Pink/Green/Yellow Area Rugby Mistana$45.998333Rated 4.5 out of 5 stars.8333 total votes.2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/mistana-feist-pinkgreenyellow-area-rug-w000513536.html?piid=349189390","Feist Pink/Green/Yellow Area Rug","Mistana","$45.99","$112.19","59% Off","Free-spirited and vibrantly colored, this charming area rug blends bohemian-chic flair with Persian designs. Machine-made in Turkey, this rug is power-loomed of stain and fade-resistant polypropylene in a low 0.45"" pile—perfect for rolling out in high-traffic areas and places prone to spills and stains. Though this design's height allows for a bit of cushioning, this rug works best when paired with a rug pad to prevent shifting and sliding.","Area Rugs","SKU: W000513536","Showing 1-10 of 8304 reviews.","4.7","5.0","4.7","4.9","null"
"1571687828-166","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=2","Opens in a new tabSaleQuickviewSave+9 SizesAvailable in 9 SizesJahiem Hand-Tufted Wool Charcoal/Blue Area Rugby Corrigan Studio$146.993Rated 5 out of 5 stars.3 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/corrigan-studio-jahiem-hand-tufted-wool-charcoalblue-area-rug-w000184887.html?piid=43524838&category=416168&placement=303&slot=3&sponsoredid=6ea646b85965b8aa758d9d39c07dd01050a3b4eac3a2ed2afe5fb1a353c56ffa&_txid=otAgbl2uDM94iloXsBZTAg%3D%3D&isB2b=0","Jahiem Hand-Tufted Wool Charcoal/Blue Area Rug","Corrigan Studio","$146.99","$490.00","70% Off","With designs that bloom across the canvas as beautifully as flowers in spring, these exquisite rugs will be both a flawless and sophisticated addition to your home décor. Hand-tufted, with its clean line prints in striking coloring against a bold backdrop, these perfect pieces, in all their beauty, embody elements of both natural and elegant design in any space.","Area Rugs","SKU: W000184887","Showing 1-3 of 3 reviews.","5","null","null","null","Sponsored"
"1571687652-145","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=2","Opens in a new tabSaleQuickviewSave+5 SizesAvailable in 5 SizesOvid Tangerine Rust Area Rugby Mistana$55.991517Rated 4.5 out of 5 stars.1517 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/mistana-ovid-tangerine-rust-area-rug-w000241720.html?piid=1491698128","Ovid Tangerine Rust Area Rug","Mistana","$55.99","$348.85","84% Off","Warming up hardwood and tile floors while setting the stage for the rest of your ensemble, area rugs are essential for nearly any room in your abode. Made in Belgium, this rug is constructed from viscose, an ultra soft, silk-like synthetic material designed to stand up to muddy shoes in the entryway and the occasional spill under the kitchen table. It features a 0.125"" pile height, ideal for promoting a cozy and inviting feel to your space with the added benefit of being easy to clean.","Area Rugs","SKU: W000241720","Showing 1-10 of 1512 reviews.","4.6","4.5","4.7","4.3","null"
"1571686571-31","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=5","Opens in a new tabQuickviewSave+22 SizesAvailable in 22 SizesKeefer Hand-Tufted Wool Navy/Charcoal Area Rugby Charlton Home$125.99$291.001253Rated 4.5 out of 5 stars.1253 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/charlton-home-keefer-hand-tufted-wool-navycharcoal-area-rug-chrl6406.html?piid=23284427&category=416168&placement=309&slot=2&sponsoredid=f0895b745507b9ad786c4e26fb3175b6b0feda4222fadf86ea3d1b26627d3bcc&_txid=otAgbl2uB2l3%2B1oCCPLaAg%3D%3D&isB2b=0","Keefer Hand-Tufted Wool Navy/Charcoal Area Rug","Charlton Home","$125.99","$291.00","57% Off","Elegance, sophistication, and grace are just a few words that define the radiant rugs found within this flawless collection. Keefer Hand-Tufted Wool Navy/Charcoal Area Rug, the timelessness found within each of these perfect pieces embodies a classic charm that has been revered for generations, and that will truly emanate a sense of warmth from room to room within any home decor.","Area Rugs","SKU: CHRL6406","Showing 1-10 of 1253 reviews.","4.5","null","null","null","Sponsored"
"1571686598-33","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=5","Opens in a new tabSaleQuickviewSave+19 SizesAvailable in 19 SizesRabinowitz Terracotta Area Rugby Andover Mills$34.99$98.0033201Rated 4.5 out of 5 stars.33201 total votes.2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/andover-mills-rabinowitz-terracotta-area-rug-andv4790.html?piid=33089604","Rabinowitz Terracotta Area Rug","Andover Mills","$34.99","$98.00","64% Off","This Terracotta Area Rug is made of polypropylene. This rug is easy to clean and does not shed","Area Rugs","SKU: ANDV4790","Showing 1-10 of 33075 reviews.","4.6","4.6","4.8","4.6","null"
"1571687335-117","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=3","Opens in a new tabSaleQuickviewSave+18 SizesAvailable in 18 SizesDavid Teal Area Rugby Mistana$56.99$94.002976Rated 4.5 out of 5 stars.2976 total votes.FREE 2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/mistana-david-teal-area-rug-mtna1799.html?piid=26067540","David Teal Area Rug","Mistana","$56.99","$94.00","39% Off","When it comes to crafting a cohesive look and softening the step of hardwood flooring, nothing does the job quite like an area rug! This design showcases a Persian-inspired pattern with weathered details that evoke the appearance of a charming flea market find. Crafted from polyester, it’s fade- and stain-resistant, featuring a 0.25'' pile height that makes it easy to keep clean with regular vacuuming. No matter where it ends up, we recommend using a rug pad for extra stability.","Area Rugs","SKU: MTNA1799","Showing 1-10 of 2974 reviews.","4.7","4.7","4.8","4.4","null"
"1571688351-215","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=0","Opens in a new tabQuickviewSave+20 SizesAvailable in 20 SizesBismark Gray Area Rugby Wade Logan$44.995796Rated 4.5 out of 5 stars.5796 total votes.2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/wade-logan-bismark-gray-area-rug-wlgn1167.html?piid=19343462","Bismark Gray Area Rug","Wade Logan","$44.99","null","null","This polypropylene rug is both elegant and easy to clean, so they make the perfect foundation for any entryway ensemble. Try rolling out this alluring area rug for a ravishing refresher, then craft a cohesive look throughout with a glossy white bench for stowing shoes and a polished silver bowl pendant hanging overhead to make it shine. Though its hues of gray are sure to beautifully blend into your abode, a tonal stripe motif might just be grabbing glances. Made in Turkey, this distinctive design is machine woven of 100% polypropylene with a cotton backing and a low pile height for a casual look.","Area Rugs","SKU: WLGN1167","Showing 1-10 of 5788 reviews.","4.5","4.5","4.6","4.6","null"
"1571687163-101","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=3","Opens in a new tabSaleQuickviewSave+15 SizesAvailable in 15 SizesDulin Dark Blue Area Rugby Mercury Row$38.79$118.002599Rated 4.5 out of 5 stars.2599 total votes.2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/mercury-row-dulin-dark-blue-area-rug-mcrw6771.html?piid=24753565","Dulin Dark Blue Area Rug","Mercury Row","$38.79","$118.00","67% Off","When it comes to rounding out your home with decorative touches, area rugs are a great way to stage your ensemble while also softening hardwood or tile floors. This rug, for example, is a great option for adding a globally-inspired accent to your home, thanks to its eye-catching pattern. Woven in Turkey from polypropylene, this stain- and the fade-resistant piece features a distressed finish for a well-worn look. And with a 0.5'' pile height, it's ideal for a cushioned feeling underfoot that's still easy to maintain. We recommend adding a rug pad to help keep this piece in place.","Area Rugs","SKU: MCRW6771","Showing 1-10 of 2594 reviews.","4.7","4.5","4.8","4.7","null"
"1571688329-212","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=0","Opens in a new tabSaleQuickviewSave+24 SizesAvailable in 24 SizesKulpmont Hand-Braided Gray/Off-White Indoor/Outdoor Area Rugby Wade Logan$58.99$72.006698Rated 4.5 out of 5 stars.6698 total votes.FREE 2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/wade-logan-kulpmont-hand-braided-grayoff-white-indooroutdoor-area-rug-wdln2358.html?piid=24795734","Kulpmont Hand-Braided Gray/Off-White Indoor/Outdoor Area Rug","Wade Logan","$58.99","$72.00","18% Off","Able to take on high foot traffic, weather rainstorms, and make spills easy to clean, polypropylene is the perfect material for an outdoor rug. Just take this all-weather rug for example: Handmade from 100% polypropylene, it features a flat 0.25'' pile height for effortless upkeep. Its woven design lends a touch of texture, while a gray hue keeps it neutral enough for any patio or entryway ensemble. To keep this piece safely in place, we recommend using a rug pad.","Area Rugs","SKU: WDLN2358","Showing 1-10 of 6676 reviews.","4.6","4.8","4.6","4.7","null"
"1571687035-88","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=4","Opens in a new tabSaleQuickviewSave+18 SizesAvailable in 18 SizesBalster Beige Area Rugby Laurel Foundry Modern Farmhouse$58.99663Rated 5 out of 5 stars.663 total votes.FREE 2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/balster-beige-area-rug-w000101607.html?piid=35222980","Balster Beige Area Rug","Laurel Foundry Modern Farmhouse","$31.99","$78.00","59% Off","null","Area Rugs","SKU: W000101607","Showing 1-10 of 662 reviews.","4.9","4.7","4.8","4.7","null"
"1571688343-214","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=0","Opens in a new tabSaleQuickviewSave+10 SizesAvailable in 10 SizesRoger Modern Bohemian Charcoal/Beige Area Rugby Langley Street$76.83$158.00378Rated 5 out of 5 stars.378 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/langley-street-roger-modern-bohemian-charcoalbeige-area-rug-lgly7120.html?piid=31745018&category=416168&placement=301&slot=2&sponsoredid=470fd2025feafb84499514e2a92033d5e1b3826b05265cfcf8ff02123873fb75&_txid=otAgbl2uDqd4gloU8h5RAg%3D%3D&isB2b=0","Roger Modern Bohemian Charcoal/Beige Area Rug","Langley Street","$76.83","$158.00","51% Off","This beautiful modern bohemian area rug perfectly intertwines traditional tribal patterns with modern sensibilities and design to create a splendid piece that would make a wonderful addition to any decor space. This modern bohemian area rug is sure to be a great piece to pull a room together and will be a pleasure on your feet.","Area Rugs","SKU: LGLY7120","Showing 1-10 of 376 reviews.","4.8","4.6","4.3","4.9","Sponsored"
"1571687499-130","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=3","Opens in a new tabSaleQuickviewSave+6 SizesAvailable in 6 SizesHillsby Burnt Orange/Light Gray Area Rugby Mistana$62.99$102.003907Rated 5 out of 5 stars.3907 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/mistana-hillsby-burnt-orangelight-gray-area-rug-mtna3269.html?piid=22620259&category=416168&placement=307&slot=2&sponsoredid=d34f652bf80ca327215ae93f391a95af696db5b203e9987e2d610034babd49f7&_txid=otAgb12uCrRp1kgzlehQAg%3D%3D&isB2b=0","Hillsby Burnt Orange/Light Gray Area Rug","Mistana","$62.99","$102.00","38% Off","A large center medallion gives this rug its Middle Eastern influence, while its muted orange and beige color palette brings the appeal of time passed to any aesthetic. Roll it out in the dining room, master suite, entryway, and beyond for an effortlessly vintage look. Made in Turkey, this rug is crafted from 100% polypropylene fibers with a low 0.38'' pile height for easy upkeep. This design is suitable for indoor use only. A rug pad is recommended.","Area Rugs","SKU: MTNA3269","Showing 1-10 of 3903 reviews.","4.8","5.0","4.7","4.5","Sponsored"
"1571687669-147","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=2","Opens in a new tabQuickviewSave+17 SizesAvailable in 17 SizesBrandt Dark Gray Area Rugby Mistana$37.65$78.001351Rated 4.5 out of 5 stars.1351 total votes.2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/mistana-brandt-dark-gray-area-rug-mtna1834.html?piid=22568274","Brandt Dark Gray Area Rug","Mistana","$37.65","$78.00","52% Off","More than anything else, area rugs are art for your floors: They create the mood of your decor, guide the layout of your furniture, and establish a color scheme to follow (or rebel against). Turkish-made, this rug is woven from polypropylene with a low pile that stands up to high foot traffic, while a faded medallion pattern gives it a well-worn look fit for aesthetics from boho to modern. To keep this design safely in place, we recommend using a rug pad underneath.","Area Rugs","SKU: MTNA1834","Showing 1-10 of 1347 reviews.","4.4","4.6","4.6","4.4","null"
"1571688143-195","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=0","Opens in a new tabSaleQuickviewSave+5 SizesAvailable in 5 SizesHeilman Blue Area Rugby Wrought Studio$60.19$249.00876Rated 4.5 out of 5 stars.876 total votes.FREE 2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/wrought-studio-heilman-blue-area-rug-vrkg2891.html?piid=21789500","Heilman Blue Area Rug","Wrought Studio","$60.19","$249.00","76% Off","More than anything else, area rugs are art for your floors: They create the mood of your decor, guide the layout of your furniture, and establish a color scheme to follow (or rebel against). A new rug can, and will, dramatically changes a room – the fun part is picking one you love! This one for example: is made in Turkey and features a colorful abstract print. It is crafted from 100% polypropylene, with a 0.38'' pile height. To clean this piece, we regularly recommend vacuuming and professionally cleaning when needed.","Area Rugs","SKU: VRKG2891","Showing 1-10 of 874 reviews.","4.6","4.4","4.6","4.5","null"
"1571687918-175","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=2","Opens in a new tabSaleQuickviewSave+15 SizesAvailable in 15 SizesHillsby Charcoal/Light Gray/Beige Area Rugby Mistana$53.87$102.003914Rated 5 out of 5 stars.3914 total votes.FREE 2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/mistana-hillsby-charcoallight-graybeige-area-rug-mtna3110.html?piid=22619433","Hillsby Charcoal/Light Gray/Beige Area Rug","Mistana","$53.87","$102.00","47% Off","Made in Turkey, this area rug is machine-woven of stain- and fade-resistant polypropylene in a medium 0.38"" pile – perfect for rolling out in fashionable living rooms or dining spaces prone to the occasional spills and stains. Easily vacuumed or spot cleaned for effortless upkeep, this area rug performs best when paired with a rug pad to prevent shifting and sliding.","Area Rugs","SKU: MTNA3110","Showing 1-10 of 3903 reviews.","4.8","4.7","4.6","4.8","null"
"1571688265-207","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=0","Opens in a new tabSaleQuickviewSave+12 SizesAvailable in 12 SizesRhodes Black/Charcoal Area Rugby Union Rustic$88.99$203.00334Rated 5 out of 5 stars.334 total votes.FREE 2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/union-rustic-rhodes-blackcharcoal-area-rug-unrs4885.html?piid=31329324&category=416168&placement=301&slot=3&sponsoredid=356f867ce04a5bd6711e744dd60aee86a53d71cdb1590057b21c46bb465512ca&_txid=otAgbl2uDqd4gloU8h5RAg%3D%3D&isB2b=0","Rhodes Black/Charcoal Area Rug","Union Rustic","$88.99","$203.00","56% Off","Looks aside, area rugs help absorb and decrease noise as they soften the step of hardwood and tile flooring. This one is constructed from polypropylene, a synthetic material designed to stand up to muddy shoes in the entryway and the occasional spill under the kitchen table. The perfect pick for adding a plush stage-setter that promotes coziness in the living room, bedroom, and beyond.","Area Rugs","SKU: UNRS4885","Showing 1-10 of 332 reviews.","4.8","4.4","4.7","5.0","Sponsored"
"1571686315-5","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=5","Opens in a new tabSaleQuickviewSave+6 SizesAvailable in 6 SizesPoteat Beige Area Rugby World Menagerie$35.99$63.9955Rated 4.5 out of 5 stars.55 total votes.2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/world-menagerie-poteat-beige-area-rug-wrmg3806.html?piid=29474180","Poteat Beige Area Rug","World Menagerie","$35.99","$63.99","44% Off","Take a walk on the wild side when you lay down this area rug, a perfect fit for bold, on-trend spaces! Its cheetah print pattern is sure to grab glances, whether you display it in the living room or use it to welcome guests in the entryway. Crafted from fade- and stain-resistant polypropylene, it features a 0.4'' pile height that creates an inviting effect while remaining easy to clean with regular vacuuming. No matter where this purrfect rug ends up, we recommend pairing it with a rug pad.","Area Rugs","SKU: WRMG3806","Showing 1-10 of 55 reviews.","4.6","null","null","null","null"
"1571688206-202","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=0","Opens in a new tabSaleQuickviewSave+19 SizesAvailable in 19 SizesYouati Ivory/Gray Area Rugby Laurel Foundry Modern Farmhouse$46.99$89.0010917Rated 5 out of 5 stars.10917 total votes.2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/youati-ivorygray-area-rug-lfmf4348.html?piid=30192737","Youati Ivory/Gray Area Rug","Laurel Foundry Modern Farmhouse","$46.99","$89.00","47% Off","Set the mood in your space with the help of this area rug, a Persian-inspired piece that helps establish a vintage-inspired ensemble. Made in Turkey, this rug sports a floral pattern accented by fading for an antiqued look that brings lived-in character to any space. Plus, its polypropylene construction and 0.5'' pile height stands up to high traffic. We recommend pairing this piece with a rug pad for extra traction.","Area Rugs","SKU: LFMF4348","Showing 1-10 of 10912 reviews.","4.8","4.8","4.8","4.5","null"
