web-scraper-order,web-scraper-start-url,Product_C,Product_C-href,Product_Name,Shop_Name,Sale_Price,Original_Price,Discount,Description,Collection,Product_SKU,Review_Numbers,Customer_Rating_Total,Size_Rating,Material_Rating,Color_Rating,Sponsor_B
"1571756921-995","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=4","Opens in a new tabSaleQuickviewSave+20 SizesAvailable in 20 SizesDax Shag Hand-Tufted Pink Area Rugby Viv + Rae$44.99 - $529.99$120.80218Rated 4.5 out of 5 stars.218 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/viv-rae-dax-shag-hand-tufted-pink-area-rug-vvre3523.html","Dax Shag Hand-Tufted Pink Area Rug","Viv + Rae","$44.99","$120.80","63% Off","Evoking the sweetness of bubblegum or and the airy appearance of cotton candy, this shag rug brings a playful air to any ensemble, whether it's your little one's playroom or bedroom. Hand-tufted from polyester, a 1'' pile height invites you to sink your toes in this rug’s shag-style fibers and relax. Though this design includes a cotton backing, we recommend a rug pad for extra traction. Be sure to vacuum regularly. Plus, this design arrives backed by a lifetime warranty.","Area Rugs","SKU: VVRE3523","Showing 1-10 of 218 reviews.","4.4","null","null","null","null"
"1571756970-1001","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=4","Opens in a new tabSaleQuickviewSave+3 SizesAvailable in 3 SizesPuentes Shag White Area Rugby Wrought Studio$71.99 - $229.99$194.975Rated 5 out of 5 stars.5 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/wrought-studio-puentes-shag-white-area-rug-vrkg6401.html","Puentes Shag White Area Rug","Wrought Studio","$71.99","$194.97","63% Off","This Puentes Shag White Area Rug that combines both plush and lustrous yarns to creates a delightful, silky smooth fell under foot that can really transform your mood. Watch its scintillating pile shimmer as you run your hand across it! The thick pile is stain resistant and doesn’t shed or fade over time.","Area Rugs","SKU: VRKG6401","Showing 1-6 of 6 reviews.","4.8","null","null","null","null"
"1571756447-963","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=4","Opens in a new tabCloseoutQuickviewSave+4 SizesAvailable in 4 SizesSamantha Cozy Handmade Shag Ivory & Cream Area Rugby Ebern Designs$36.99 - $114.99$89.008Rated 5 out of 5 stars.8 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/ebern-designs-samantha-cozy-handmade-shag-ivory-cream-area-rug-drld1480.html","Samantha Cozy Handmade Shag Ivory & Cream Area Rug","Ebern Designs","$114.99","$469.00","75% Off","This beautiful rug is unique, stylish and ready to accent your decor with authentic elegance. This rug has a unique design that is sure to complement any room in your home. This rug features a pile height of 1.18"" that creates soft feeling underfoot. The high-quality polypropylene pile fiber adds durability and longevity to this rug, the power-loomed construction adds durability to this rug, ensuring it will be a favorite for a long time.","Closeout","SKU: DRLD1480","Showing 1-8 of 8 reviews.","4.9","null","null","null","null"
"1571756799-985","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=4","Opens in a new tabSaleQuickviewSave+9 SizesAvailable in 9 SizesArlie Grey Area Rugby Willa Arlo Interiors$54.99 - $243.99$149.001207Rated 4.5 out of 5 stars.1207 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/willa-arlo-interiors-arlie-grey-area-rug-w000974186.html","Arlie Grey Area Rug","Willa Arlo Interiors","$54.99","$149.00","63% Off","Create a plush landing spot next to your bed or by the home bar with this beautiful tufted polypropylene rug. While its shag pile design lends warmth and textural dimension, the gray hue keeps it neutral and harmoniously blends into any contemporary aesthetic. Place it in the center of the living room, top it with an iron and glass coffee table, then dress the arrangement with lush plants, mirrored coasters, and glittering candles for a cozy lounge space. For a lighter aesthetic with touches of warmth, roll it out in the kitchen by the breakfast nook, then liven up the arrangement with a bright floral bouquet placed on the table and a sparkling chandelier suspended overhead.","Area Rugs","SKU: W000974186","Showing 1-10 of 1219 reviews.","4.5","4.4","4.5","5.0","null"
"1571758118-1091","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=2","Opens in a new tabSaleQuickviewSave+4 SizesAvailable in 4 SizesAviles Soft Silver Area Rugby Winston Porter$28.99 - $95.992564Rated 4.5 out of 5 stars.2564 total votes.","https://www.wayfair.com/rugs/pdp/winston-porter-aviles-soft-silver-area-rug-wnsp8822.html","Aviles Soft Silver Area Rug","Winston Porter","$28.99","null","null","null","Area Rugs","SKU: WNSP8822","Showing 1-10 of 2564 reviews.","4.5","3.5","4.7","4.4","null"
"1571756391-961","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=4","Opens in a new tabCloseoutQuickviewSave+4 SizesAvailable in 4 SizesSamantha Cozy Shag Contemporary Geometric Circles Blue Area Rugby Ebern Designs$34.99 - $119.99$89.0025Rated 4.5 out of 5 stars.25 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/ebern-designs-samantha-cozy-shag-contemporary-geometric-circles-blue-area-rug-drld1493.html","Samantha Cozy Shag Contemporary Geometric Circles Blue Area Rug","Ebern Designs","$36.99","$109.00","66% Off","This beautiful rug is unique, stylish and ready to accent your decor with authentic elegance. This rug has a unique design that is sure to complement any room in your home. This rug features a pile height of 1.18"" that creates soft feeling underfoot. The high-quality polypropylene pile fiber adds durability and longevity to this rug, the power loomed construction adds durability to this rug, ensuring it will be a favorite for a long time.","Closeout","SKU: DRLD1493","Showing 1-10 of 25 reviews.","4.5","null","null","null","null"
"1571758514-1116","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=0","Opens in a new tabSaleQuickviewSave+14 SizesAvailable in 14 SizesParrish Shag Dark Gray Area Rugby Charlton Home$46.99 - $409.99$109.00276Rated 4.5 out of 5 stars.276 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/charlton-home-parrish-shag-dark-gray-area-rug-chrl8135.html","Parrish Shag Dark Gray Area Rug","Charlton Home","$185.99","$789.00","76% Off","There’s nothing like a sensational shag design to transform even the most ordinary rooms into something extraordinary. This Parrish Dark Gray Area Rug is expertly designed in distinctive sizes and shapes to perfectly fit any room.","Area Rugs","SKU: CHRL8135","Showing 1-10 of 276 reviews.","4.7","null","null","null","null"
"1571756779-983","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=4","Opens in a new tabQuickviewSave+16 SizesAvailable in 16 SizesHaupt Handmade Shag Gray/White Area Rugby Mercury Row$55.99 - $659.99$116.5686Rated 4.5 out of 5 stars.86 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/mercury-row-haupt-handmade-shag-graywhite-area-rug-mcrr7255.html","Haupt Handmade Shag Gray/White Area Rug","Mercury Row","$55.99","$116.56","52% Off","Warming up hardwood and tile floors while setting the stage for the rest of your ensemble, area rugs are essential for nearly any room in your abode. Take this one for example: Crafted from acrylic, this piece features a shag-inspired design that showcases a striped chevron motif, so it’s sure to make a statement on your bare floor. Plus, it features a 2"" pile height, making it the perfect pick for adding a plush stage setter that promotes coziness in the living room, bedroom, and beyond.","Area Rugs","SKU: MCRR7255","Showing 1-10 of 86 reviews.","4.4","null","null","null","null"
"1571758439-1112","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=0","Opens in a new tabSaleQuickviewSave+3 SizesAvailable in 3 SizesSan Francisco Shag Black/Gray Area Rugby Well Woven$88.99 - $379.99$597.0010Rated 5 out of 5 stars.10 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/well-woven-san-francisco-shag-blackgray-area-rug-xtbs1285.html","San Francisco Shag Black/Gray Area Rug","Well Woven","$88.99","$597.00","85% Off","Oversized geometric styles like those in the San Francisco collection take center stage to create a feeling of boundless energy and expansive space. The dynamic patterns are further enhanced with 3D carved design accents, for a visual texture that pops right off the floor.","Area Rugs","SKU: XTBS1285","Showing 1-10 of 13 reviews.","5","null","null","null","null"
"1571757801-1068","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=2","Opens in a new tabSaleQuickviewSave+16 SizesAvailable in 16 SizesCharmain Shag Polypropylene Ivory and Dark Gray Area Rug by Willa Arlo Interiors$30.99 - $309.99$103.505883Rated 4.5 out of 5 stars.5883 total votes.","https://www.wayfair.com/rugs/pdp/willa-arlo-interiors-charmain-shag-polypropylene-ivory-and-dark-gray-area-rug-wrlo3724.html","Charmain Shag Polypropylene Ivory and Dark Gray Area Rug","Willa Arlo Interiors","$30.99","$103.50","70% Off","Beautifully patterned in fashionable two-color designs, these shag rugs combine exciting visual interest and alluring texture. Power-loomed of easy-care polypropylene, this organic-looking shag rug is crafted with a soft pile for plush comfort underfoot.","Area Rugs","SKU: WRLO3724","Showing 1-10 of 5878 reviews.","4.5","4.8","3.6","4.9","null"
"1571755741-911","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=5","Opens in a new tabSaleQuickviewSave+8 SizesAvailable in 8 SizesMatterson Cream/Light Gray Area Rugby Bungalow Rose$41.99 - $469.99$222.878Rated 4.5 out of 5 stars.8 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/bungalow-rose-matterson-creamlight-gray-area-rug-w001400217.html","Matterson Cream/Light Gray Area Rug","Bungalow Rose","$41.99","$222.87","81% Off","null","Area Rugs","SKU: W001400217","Showing 1-10 of 11 reviews.","4.7","null","null","null","null"
"1571757813-1069","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=2","Opens in a new tabSaleQuickviewSave+9 SizesAvailable in 9 SizesZuniga Red Area Rugby Ebern Designs$27.99 - $179.99$58.001171Rated 4.5 out of 5 stars.1171 total votes.","https://www.wayfair.com/rugs/pdp/ebern-designs-zuniga-red-area-rug-w001473042.html","Zuniga Red Area Rug","Ebern Designs","$27.99","$58.00","52% Off","The bold, solid colors of our rugs are sure to complement any style decor in your home. There’s something for everyone in this eye-catching collection. With so many colors to choose from, you’re certain to find something that pleases here.","Area Rugs","SKU: W001473042","Showing 1-10 of 1166 reviews.","4.6","5.0","4.7","4.5","null"
"1571757171-1019","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=3","Opens in a new tabSaleQuickviewSave+4 SizesAvailable in 4 SizesAviles Sand Area Rugby Winston Porter$28.99 - $100.992564Rated 4.5 out of 5 stars.2564 total votes.","https://www.wayfair.com/rugs/pdp/winston-porter-aviles-sand-area-rug-wnsp8808.html","Aviles Sand Area Rug","Winston Porter","$28.99","null","null","null","Area Rugs","SKU: WNSP8808","Showing 1-10 of 2564 reviews.","4.5","5.0","4.0","4.7","null"
"1571757268-1026","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=3","Opens in a new tabSaleQuickviewSave+6 SizesAvailable in 6 SizesAon Solid Shag Brown Area Rugby Ebern Designs$46.99 - $199.99$98.00517Rated 4.5 out of 5 stars.517 total votes.","https://www.wayfair.com/rugs/pdp/ebern-designs-aon-solid-shag-brown-area-rug-w001473064.html","Aon Solid Shag Brown Area Rug","Ebern Designs","$182.99","$398.00","54% Off","Whether you want to tie together an eclectic ensemble or round out an understated space, sometimes a simple foundation is just what you need. Roll out this lovely rug to set a solid foundation in any space. It showcases a soft brown hue that can blend in with a variety of color palettes, and it features a shag design that brings a soft touch to your floors. It is machine-made from micro polyester, and is stain-resistant and does not shed. Roll it out in your living room for a fresh look, then top it with a clean-lined gray sectional, a pair of white arm chairs, and a glossy black coffee table to craft a contemporary aesthetic.","Area Rugs","SKU: W001473064","Showing 1-10 of 517 reviews.","4.4","4.4","5.0","4.6","null"
"1571755965-929","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=5","Opens in a new tabSaleQuickviewSave+5 SizesAvailable in 5 SizesChristofor Sheepskin Taupe Rugby Willa Arlo Interiors$93.99 - $689.99$120.0028Rated 5 out of 5 stars.28 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/willa-arlo-interiors-christofor-sheepskin-taupe-rug-wrlo3911.html","Christofor Sheepskin Taupe Rug","Willa Arlo Interiors","$174.99","$220.00","20% Off","This Sheepskin Taupe Rug offers premium quality New Zealand and Australian sheepskins. Selected for its density and natural sheen, this beautiful rug adds luxe texture and effortless style to the home.","Area Rugs","SKU: WRLO3911","Showing 1-10 of 28 reviews.","4.9","null","null","null","null"
"1571758300-1101","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=0","Opens in a new tabSaleQuickviewSave+6 SizesAvailable in 6 SizesCalion Handmade Shag Cream Area Rugby Mistana$33.99 - $378.99$79.00759Rated 5 out of 5 stars.759 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/mistana-calion-handmade-shag-cream-area-rug-mitn1779.html","Calion Handmade Shag Cream Area Rug","Mistana","$33.99","$79.00","57% Off","The cure for the bare floor blues, area rugs set the tone for your decor while adding barefoot-friendly comfort. This design features a tassel fringe and loosely-rendered geometric patterns in hues of cream and black that give it bold boho appeal. Crafted from polypropylene, it features a 1.25'' pile height, making it a perfect pick for laying out in the master suite or crafting a welcoming vignette in the entryway. No matter where you lay out this design, we recommend using a rug pad for added traction.","Area Rugs","SKU: MITN1779","Showing 1-10 of 759 reviews.","4.8","4.7","4.9","4.8","null"
"1571758014-1085","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=2","Opens in a new tabSaleQuickviewSave+13 SizesAvailable in 13 SizesStacie Cotton Navy Blue/Ivory Area Rugby Ebern Designs$48.99 - $379.99$149.43278Rated 4.5 out of 5 stars.278 total votes.","https://www.wayfair.com/rugs/pdp/ebern-designs-stacie-cotton-navy-blueivory-area-rug-w001079318.html","Stacie Cotton Navy Blue/Ivory Area Rug","Ebern Designs","$48.99","$149.43","67% Off","Whether you're updating your master suite ensemble or switching up the living room's look, this eye-catching area rug lends a whole new splash of style to your space. Made in Turkey, it is power-loomed from polypropylene, jute, polyester cotton, and latex. A wavy motif through its 1'' shag pile is artful as can be, showcasing two neutral tones. To keep this piece safely in place, we recommend using a rug pad.","Area Rugs","SKU: W001079318","Showing 1-10 of 278 reviews.","4.7","4.4","5.0","5.0","null"
"1571756667-976","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=4","Opens in a new tabQuickviewSave+19 SizesAvailable in 19 SizesGillard Gray Area Rugby Orren Ellis$48.99 - $749.99$68.3179Rated 4.5 out of 5 stars.79 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/orren-ellis-gillard-gray-area-rug-w001092481.html","Gillard Gray Area Rug","Orren Ellis","$48.99","$68.31","28% Off","The mod European style is elegantly showcased in this dark gray shag rug. With an incredibly plush, thick pile, this fashion-smart shag combines upscale contemporary style with a warm and comforting texture.","Area Rugs","SKU: W001092481","Showing 1-10 of 79 reviews.","4.7","5.0","5.0","5.0","null"
"1571757098-1011","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=3","Opens in a new tabSaleQuickviewSave+13 SizesAvailable in 13 SizesEunice Handmade Shag Off White Area Rugby Willa Arlo Interiors$45.99 - $829.99$269.642382Rated 4.5 out of 5 stars.2382 total votes.","https://www.wayfair.com/rugs/pdp/willa-arlo-interiors-eunice-handmade-shag-off-white-area-rug-wrlo5512.html","Eunice Handmade Shag Off White Area Rug","Willa Arlo Interiors","$45.99","$269.64","83% Off","Ready to stand up to high foot traffic in the entryway and take on occasional spills under the kitchen table, polypropylene rugs are ideal anchors for any mess-prone area of your abode. Take this one for example: handmade from that must-have material, it features a high 1'' shag pile height and a neutral solid hue for versatility. To keep this piece safely in place, we recommend using a rug pad.","Area Rugs","SKU: WRLO5512","Showing 1-10 of 2374 reviews.","4.6","null","null","null","null"
"1571757105-1012","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=3","Opens in a new tabSaleQuickviewSaveBeaucet Giant Size Genuine Sheepskin Soft Wool White Area Rugby Union Rustic$147.99$159.9957Rated 4.5 out of 5 stars.57 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/union-rustic-beaucet-giant-size-genuine-sheepskin-soft-wool-white-area-rug-w000508020.html","Beaucet Giant Size Genuine Sheepskin Soft Wool White Area Rug","Union Rustic","$147.99","$159.99","8% Off","Amazing Giant Size Genuine Sheepskin Soft Wool Natural Creamy Area Rug. Hand selected rugs for highest premium quality. Soft sinn warm wool and natural shape.","Area Rugs","SKU: W000508020","Showing 1-10 of 57 reviews.","4.4","4.5","5.0","2.3","null"
"1571756089-940","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=5","Opens in a new tabSaleQuickviewSave+4 SizesAvailable in 4 SizesLockheart Hand-Tufted Creamy Ivory Area Rugby Mistana$122.99 - $479.99$341.5511Rated 4.5 out of 5 stars.11 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/mistana-lockheart-hand-tufted-creamy-ivory-area-rug-mtna3557.html","Lockheart Hand-Tufted Creamy Ivory Area Rug","Mistana","$122.99","$341.55","64% Off","Set a textured foundation for your stylish space with this shag area rug, showcasing a hand-drawn tribal motif in rich hues of gray and orange, and finished with a braided fringe. Made in India, this area rug is hand-tufted of stain- and fade-resistant polyester wool and viscose in a high-low 1"" pile – perfect for rolling out in fashionable living rooms or digging your toes in right out of bed in the morning. Easily vacuumed for effortless upkeep, this area rug performs best when paired with a rug pad to prevent shifting and sliding.","Area Rugs","SKU: MTNA3557","Showing 1-10 of 11 reviews.","4.7","null","null","null","null"
"1571757686-1059","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=2","Opens in a new tabSaleQuickviewSave+4 SizesAvailable in 4 SizesMichel Solid Modern Plush Cream Area Rugby Ebern Designs$43.99 - $144.996Rated 5 out of 5 stars.6 total votes.","https://www.wayfair.com/rugs/pdp/ebern-designs-michel-solid-modern-plush-cream-area-rug-smnm1563.html","Michel Solid Modern Plush Cream Area Rug","Ebern Designs","$43.99","null","null","null","Area Rugs","SKU: SMNM1563","Showing 1-6 of 6 reviews.","5","null","null","null","null"
